Title,Instructor,Semester,Description,Link,Code
Artificial Intelligence (CE Lab),Sahar Waqar,Fall 2024,...,http://eduko.spikotech.com/Course/Details/2076,CSC-373L
"Artificial Intelligence Lab (A, B,D)",Numan Shafi,Fall 2024,...,http://eduko.spikotech.com/Course/Details/2075,CS-371L
Software Engineering for AI,Samyan Qayyum Wahla,Fall 2024,The course takes a software engineering perspective on building software systems with a...,http://eduko.spikotech.com/Course/Details/2072,CS-690
Artificial Intelligence (Lab),Samyan Qayyum Wahla,Fall 2024,"This course introduces representations, techniques, and architectures used to build applied...",http://eduko.spikotech.com/Course/Details/2071,CS-371L
Artificial Intelligence,Samyan Qayyum Wahla,Fall 2024,"This course introduces representations, techniques, and architectures used to build applied...",http://eduko.spikotech.com/Course/Details/2070,CS-371
Signal & Systems,Sahar Waqar,Fall 2024,The objective of this course is to develop the understanding of the basic ideas of the Signals &...,http://eduko.spikotech.com/Course/Details/2069,CMPE-271
Applications of ICT,Sahar Waqar,Fall 2024,This course is designed to provide an introduction to the key concepts and technologies used in...,http://eduko.spikotech.com/Course/Details/2068,CMPE-111
Data Structures and Algorithms,Nazeef Ul Haq,Fall 2024,The course introduces the theory of complexity and abstract data structures as basic building...,http://eduko.spikotech.com/Course/Details/2073,CSC-200
Data Structures and Algorithms(Lab),Nazeef Ul Haq,Fall 2024,The course introduces the theory of complexity and abstract data structures as basic building...,http://eduko.spikotech.com/Course/Details/2074,CSC-200L
Final Year Project (2021),Numan Shafi,Spring 2024,...,http://eduko.spikotech.com/Course/Details/2067,CS-FYP
