Product Name,Price,Sold,Location,Rating
100 pcs Transparent Ballerina Fake Nails Coffin Artificial Nails Medium Size Acrylic Nails for Nail Art Decal Full Cover Nail Tips 10 Size Transparent Fake Nails,Rs. 149,2.0K sold,Sindh,314
24pcs of fake nails with glue DIY Art design acrylic french nail girls nails pink peach transparent nails nakli nails,Rs. 300,304 sold,Punjab,30
24 PCs Short French Minimalist Glitter Nails with 1 Jelly Gel and 1 Nail File QH-Z974,Rs. 343,316 sold,Overseas,22
6W Mini Nail Dryer Machine Portable 6 LED UV Manicure Lamp Home Use Nail Lamp For Drying Polish Varnish With USB Cable,Rs. 873,12.5K sold,Overseas,1190
100PCS TRANSPARENT NAILS FOR GIRLS WITH GLUE,Rs. 215,513 sold,Sindh,33
5Pc Nails Art Dotting Pen Acrylic Drawing Liner Supplies Brush Rhinestone Gems Picker UV Gel Painting Manicure Accessoires Tools,Rs. 341,228 sold,Overseas,23
100Pcs / Square Almond Oval Coffin Shape Natural & Transparent Color Artificial Nails Kit Fakee Nails Acrylic Nails For Girls Beautiful Nails Falsee Nails,Rs. 300,528 sold,Punjab,66
576 Pcs Box Colorful Artifical Nails Acrylic Full Cover Nail With Nail Glue | Fake Nails With Glue | Fancy Artifical Nails | French nails | Nails For girls In Multicolours,"Rs. 1,799",191 sold,Punjab,29
Menggh（WITH GLUE）24pcs false nails Cute Pattern Water Proof False Nails Long Ballerina Nails,Rs. 415,9.8K sold,Federally Administered Tribal Areas,1186
Pack of 12- Nails Set For Women With 12 Extra Nails Stickers,Rs. 220,2.7K sold,Islamabad,281
6Pcs/Set Professional Nail Files Manicure Sets Polishing Sanding Buffer File Pedicure Tool Cuticle Pusher Nail Brushes Accssory,Rs. 866,1.7K sold,Overseas,268
"288 pcs nails with box ,reusable Artificial nails,24 different colours,beautiful fake nails American Nail for Girls Women",Rs. 999,335 sold,Punjab,31
24Pcs Elegant Pink Fake Nails with Glue DIY Art Design False Nails Hand-painted Flowers Wearable Nails Stylish Pattern Artificial Nails,Rs. 359,866 sold,Overseas,114
SUMMER 24 pcs Simple Nude Black French Autumn Wear Armor Southeast Asia Fake Nail Patch Nail Tips Finished,Rs. 642,1.8K sold,Overseas,243
24Pcs Pink White Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 359,426 sold,Overseas,39
16Pcs/Sheet Semi-Cured Gel Nail Polish Sticker Long-Lasting Extension Cream Nail Decal Full Cover Gradient Color Cured Slider,Rs. 378,81 sold,Overseas,9
24Pcs Blue Butterfly Long Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 469,254 sold,Overseas,37
