Product Name,Price,Sold,Location,Rating
24pcs of fake nails with glue DIY Art design acrylic french nail girls nails pink peach transparent nails nakli nails,Rs. 300,304 sold,Punjab,30
6W Mini Nail Dryer Machine Portable 6 LED UV Manicure Lamp Home Use Nail Lamp For Drying Polish Varnish With USB Cable,Rs. 873,12.5K sold,Overseas,1190
100PCS TRANSPARENT NAILS FOR GIRLS WITH GLUE,Rs. 215,513 sold,Sindh,33
100Pcs / Square Almond Oval Coffin Shape Natural & Transparent Color Artificial Nails Kit Fakee Nails Acrylic Nails For Girls Beautiful Nails Falsee Nails,Rs. 300,528 sold,Punjab,66
Pack of 12- Nails Set For Women With 12 Extra Nails Stickers,Rs. 220,2.7K sold,Islamabad,281
6Pcs/Set Professional Nail Files Manicure Sets Polishing Sanding Buffer File Pedicure Tool Cuticle Pusher Nail Brushes Accssory,Rs. 866,1.7K sold,Overseas,268
"288 pcs nails with box ,reusable Artificial nails,24 different colours,beautiful fake nails American Nail for Girls Women",Rs. 999,335 sold,Punjab,31
24Pcs Elegant Pink Fake Nails with Glue DIY Art Design False Nails Hand-painted Flowers Wearable Nails Stylish Pattern Artificial Nails,Rs. 359,866 sold,Overseas,114
SUMMER 24 pcs Simple Nude Black French Autumn Wear Armor Southeast Asia Fake Nail Patch Nail Tips Finished,Rs. 642,1.8K sold,Overseas,243
24Pcs Pink White Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 359,426 sold,Overseas,39
16Pcs/Sheet Semi-Cured Gel Nail Polish Sticker Long-Lasting Extension Cream Nail Decal Full Cover Gradient Color Cured Slider,Rs. 378,81 sold,Overseas,9
24Pcs Blue Butterfly Long Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 469,254 sold,Overseas,37
100 pcs/Square Almond oval coffin shape Natural and transparent Artificial Nail with Nail Glue Bottle,Rs. 199,232 sold,Punjab,28
24Pcs Pink Crystal Butterfly Pearl Delicate Long Fake Nails with Glue DIY Art Design False Nails Wearable Nails Artificial Nails,Rs. 429,854 sold,Overseas,103
